"identifier"	"chemical_formula"	"description"	"mass_to_charge"	"fragmentation"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"modifications"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Ex1-Col0-48h-Ag-1"	"Ex1-Col0-48h-Ag-2"	"Ex1-Col0-48h-Ag-3"	"Ex1-Col0-48h-Ag-4"	"Ex1-cyp79-48h-Ag-1"	"Ex1-cyp79-48h-Ag-2"	"Ex1-cyp79-48h-Ag-3"	"Ex1-cyp79-48h-Ag-4"	"Ex2-Col0-48h-Ag-1"	"Ex2-Col0-48h-Ag-2"	"Ex2-Col0-48h-Ag-3"	"Ex2-Col0-48h-Ag-4"	"Ex2-cyp79-48h-Ag-1"	"Ex2-cyp79-48h-Ag-2"	"Ex2-cyp79-48h-Ag-3"	"Ex2-cyp79-48h-Ag-4"
""	""	""	" 127.0388"	""	""	"543.93480"	""	""	""	""	""	""	""	""	""	""	""	""	"   8563.9257"	"   8982.6041"	"   8261.6992"	"   9138.8948"	"   9308.2470"	"   7426.3477"	"   9475.4163"	"   8145.3785"	"  12751.5626"	"  13489.8741"	"  13279.1478"	"  12789.4283"	"   7919.0130"	"   8208.2812"	"   9086.3244"	"   7466.1466"
""	""	""	" 127.0386"	""	""	"373.36650"	""	""	""	""	""	""	""	""	""	""	""	""	"   4668.3848"	"   4583.0043"	"   5064.3033"	"   5350.1061"	"   3885.7420"	"   4594.6256"	"   6155.2874"	"   6249.3240"	"  11984.5740"	"  11918.1159"	"  13438.8139"	"  14082.5534"	"  13778.0876"	"  13942.0924"	"  12737.1454"	"  14291.1731"
""	""	""	" 127.0390"	""	""	"353.88120"	""	""	""	""	""	""	""	""	""	""	""	""	"   3739.7880"	"   3658.1368"	"   4277.2904"	"   4358.7621"	"   3482.4291"	"   4780.1844"	"   3954.6499"	"   4732.5173"	"   3921.0937"	"   5378.6495"	"   5026.6278"	"   4934.5388"	"   4470.1073"	"   5964.2208"	"   6275.6451"	"   6158.6088"
""	""	""	" 127.0388"	""	""	"429.07740"	""	""	""	""	""	""	""	""	""	""	""	""	"   4150.7727"	"   4994.8730"	"   3431.1412"	"   4068.4342"	"   2979.1790"	"   5448.6352"	"   5973.8499"	"   5399.7686"	"   8852.6334"	"   9351.5312"	"   6818.1166"	"   6742.5253"	"   7925.5647"	"   7309.0278"	"   7913.9455"	"  10972.0480"
""	""	""	" 128.0192"	""	""	" 21.38001"	""	""	""	""	""	""	""	""	""	""	""	""	" 113263.6290"	" 115239.5865"	" 102117.0803"	" 106878.8477"	" 120188.2457"	" 121165.3166"	" 117795.4111"	" 119729.4212"	" 122044.5789"	" 126044.5531"	" 128558.8428"	" 125135.2898"	" 122788.2904"	" 118948.8555"	" 116410.0842"	" 115858.5121"
""	""	""	" 128.0693"	""	""	" 92.31150"	""	""	""	""	""	""	""	""	""	""	""	""	"   1260.3929"	"   1098.9888"	"   1718.0200"	"   2470.6876"	"   3085.3170"	"   2789.9071"	"   3487.3490"	"   3726.9123"	"   1137.0375"	"   1476.4851"	"   1137.3466"	"   1001.9487"	"   2940.5195"	"   4217.1715"	"   4690.3041"	"   4253.9878"
""	""	""	" 128.1434"	""	""	"143.80890"	""	""	""	""	""	""	""	""	""	""	""	""	"   3474.4860"	"   3317.1857"	"   3675.4344"	"   4325.7678"	"   4929.6833"	"   4492.3462"	"   4859.6866"	"   4396.7271"	"   1581.1195"	"   1224.6048"	"   3343.8107"	"   3266.1231"	"   2764.1124"	"   3726.6556"	"   3225.8240"	"   3400.5015"
""	""	""	" 129.0207"	""	""	" 21.38001"	""	""	""	""	""	""	""	""	""	""	""	""	"  17901.5554"	"  19030.7527"	"  16271.5171"	"  17760.4227"	"  20479.6991"	"  19024.2627"	"  20119.4973"	"  20047.0566"	"  20197.4660"	"  20966.9318"	"  21270.3304"	"  22439.5195"	"  20978.1887"	"  19503.8152"	"  19958.4450"	"  19817.8304"
""	""	""	" 129.1273"	""	""	"378.68700"	""	""	""	""	""	""	""	""	""	""	""	""	"   2293.2111"	"   4123.9629"	"   3479.1250"	"   4194.1194"	"   5082.4458"	"   4544.7098"	"   4913.2512"	"   4848.5728"	"  22948.2783"	"  23183.2912"	"  23937.0496"	"  23933.9257"	"  24985.1662"	"  26734.8472"	"  25580.0697"	"  26759.5853"
""	""	""	" 129.0538"	""	""	"451.40880"	""	""	""	""	""	""	""	""	""	""	""	""	"   1462.5052"	"   1596.9060"	"   2610.3755"	"   1709.4340"	"   1696.1267"	"   2356.0898"	"   2900.4171"	"   2605.1267"	"   2252.8638"	"   1370.6475"	"   1554.1197"	"   2017.0327"	"   2344.2446"	"   2432.3120"	"   1810.3206"	"   1936.4357"
